dataset,FreshPRINCE,HC2,Hydra-MR,InceptionT,PF,RDST,RSTSF,WEASEL-D,ECR,ECRTime
ACSF1,0.89,0.93,0.9,0.91,0.69,0.9,0.92,0.93,0.92,0.93
Adiac,0.841432225,0.810741688,0.833759591,0.84398977,0.74168798,0.739130435,0.833759591,0.826086957,0.826086957,0.841432225
ArrowHead,0.628571429,0.874285714,0.862857143,0.862857143,0.874285714,0.857142857,0.788571429,0.862857143,0.817142857,0.857142857
Beef,0.8,0.833333333,0.766666667,0.666666667,0.733333333,0.833333333,0.866666667,0.9,0.666666667,0.7
BeetleFly,0.9,0.95,0.9,0.85,0.9,0.95,0.9,0.95,0.85,0.9
BirdChicken,1,0.9,0.9,0.95,0.85,0.9,0.9,0.9,0.9,0.9
BME,1,1,1,1,1,0.993333333,1,0.96,0.993333333,0.993333333
Car,0.766666667,0.9,0.933333333,0.9,0.816666667,0.933333333,0.85,0.883333333,0.9,0.9
CBF,0.994444444,1,0.995555556,0.998888889,0.996666667,0.994444444,0.991111111,0.977777778,0.995555556,0.997777778
Chinatown,0.982507289,0.982507289,0.979591837,0.985422741,0.971014493,0.976676385,0.979591837,0.979591837,0.982507289,0.985422741
ChlorineConcentration,0.774739583,0.762239583,0.777604167,0.876041667,0.632291667,0.764322917,0.749739583,0.763020833,0.80703125,0.836979167
CinCECGTorso,0.966666667,1,0.970289855,0.852898551,0.923913043,0.993478261,1,0.932608696,0.811594203,0.824637681
Coffee,1,1,1,1,1,1,1,1,1,1
Computers,0.768,0.76,0.768,0.808,0.66,0.744,0.744,0.724,0.816,0.832
CricketX,0.71025641,0.828205128,0.812820513,0.848717949,0.8,0.817948718,0.753846154,0.807692308,0.812820513,0.815384615
CricketY,0.68974359,0.851282051,0.851282051,0.843589744,0.797435897,0.835897436,0.787179487,0.807692308,0.830769231,0.851282051
CricketZ,0.753846154,0.864102564,0.838461538,0.848717949,0.805128205,0.856410256,0.776923077,0.8,0.823076923,0.848717949
Crop,0.770416667,0.759464286,0.778690476,0.798511905,0.755654762,0.771309524,0.776011905,0.760952381,0.771130952,0.783869048
DiatomSizeReduction,0.852941176,0.970588235,0.967320261,0.947712418,0.970588235,0.934640523,0.928104575,0.967320261,0.950980392,0.95751634
DistalPhalanxOutlineAgeGroup,0.755395683,0.762589928,0.769784173,0.73381295,0.73381295,0.784172662,0.71942446,0.762589928,0.71942446,0.73381295
DistalPhalanxOutlineCorrect,0.789855072,0.775362319,0.793478261,0.786231884,0.804347826,0.775362319,0.782608696,0.786231884,0.764492754,0.789855072
DistalPhalanxTW,0.690647482,0.726618705,0.683453237,0.654676259,0.647482014,0.712230216,0.669064748,0.705035971,0.661870504,0.676258993
Earthquakes,0.769784173,0.748201439,0.73381295,0.712230216,0.755395683,0.726618705,0.755395683,0.748201439,0.73381295,0.741007194
ECG200,0.88,0.87,0.92,0.91,0.9,0.89,0.87,0.89,0.87,0.9
ECG5000,0.944222222,0.947111111,0.946666667,0.941555556,0.937777778,0.943333333,0.944666667,0.948444444,0.94,0.94
ECGFiveDays,1,1,1,1,0.846689895,0.99767712,0.995354239,0.991869919,1,1
ElectricDevices,0.769160939,0.754506549,0.741538063,0.721177539,0.706782518,0.749837894,0.741278693,0.764362599,0.7009467,0.7052263
EOGHorizontalSignal,0.591160221,0.649171271,0.632596685,0.629834254,0.546961326,0.671270718,0.582872928,0.629834254,0.67679558,0.701657459
EOGVerticalSignal,0.477900552,0.560773481,0.519337017,0.516574586,0.580110497,0.538674033,0.527624309,0.502762431,0.516574586,0.508287293
EthanolLevel,0.41,0.698,0.646,0.832,0.268,0.642,0.528,0.576,0.88,0.874
FaceAll,0.781656805,0.878106509,0.80591716,0.792899408,0.871597633,0.803550296,0.905325444,0.789940828,0.850295858,0.837869822
FaceFour,0.965909091,0.977272727,0.954545455,0.954545455,0.965909091,0.988636364,0.988636364,0.920454545,0.954545455,0.954545455
FacesUCR,0.897560976,0.964878049,0.95902439,0.972195122,0.946341463,0.963414634,0.900487805,0.957073171,0.963414634,0.964390244
FiftyWords,0.738461538,0.832967033,0.857142857,0.846153846,0.832967033,0.852747253,0.778021978,0.832967033,0.736263736,0.758241758
Fish,0.914285714,0.994285714,0.982857143,0.982857143,0.925714286,0.994285714,0.925714286,0.977142857,0.982857143,0.982857143
FordA,1,0.951515152,0.956818182,0.960606061,0.84469697,0.94469697,0.98030303,0.956060606,0.950757576,0.953787879
FordB,0.795061728,0.830864198,0.834567901,0.849382716,0.717283951,0.818518519,0.830864198,0.837037037,0.822222222,0.840740741
FreezerRegularTrain,0.989473684,0.999298246,0.999649123,0.996842105,0.940701754,0.994736842,0.999298246,0.99122807,0.997894737,0.998245614
FreezerSmallTrain,0.983859649,0.989473684,0.992631579,0.845964912,0.714736842,0.989824561,0.996842105,0.896140351,0.920350877,0.911929825
GunPoint,0.94,1,1,1,1,1,0.98,1,1,1
GunPointAgeSpan,0.981012658,0.996835443,1,0.990506329,1,0.996835443,0.996835443,0.996835443,0.996835443,0.996835443
GunPointMaleVersusFemale,0.984177215,1,1,1,1,1,1,0.993670886,0.993670886,0.996835443
GunPointOldVersusYoung,1,1,1,1,1,1,1,0.99047619,1,1
Ham,0.742857143,0.723809524,0.742857143,0.723809524,0.685714286,0.714285714,0.79047619,0.79047619,0.752380952,0.771428571
HandOutlines,0.905405405,0.943243243,0.954054054,0.959459459,0.918918919,0.945945946,0.913513514,0.948648649,0.932432432,0.943243243
Haptics,0.503246753,0.558441558,0.519480519,0.571428571,0.454545455,0.577922078,0.525974026,0.519480519,0.542207792,0.548701299
Herring,0.65625,0.640625,0.734375,0.703125,0.59375,0.6875,0.5625,0.65625,0.6875,0.6875
HouseTwenty,0.932773109,0.966386555,0.991596639,0.915966387,0.924369748,0.966386555,0.907563025,0.949579832,0.957983193,0.957983193
InlineSkate,0.512727273,0.52,0.494545455,0.485454545,0.54,0.441818182,0.674545455,0.430909091,0.512727273,0.512727273
InsectEPGRegularTrain,1,1,1,1,1,1,1,1,1,1
InsectEPGSmallTrain,1,1,1,1,1,0.991967871,1,0.987951807,1,1
InsectWingbeatSound,0.657070707,0.661111111,0.673232323,0.636868687,0.617676768,0.659090909,0.677777778,0.657070707,0.580808081,0.597474747
ItalyPowerDemand,0.897959184,0.969873664,0.966958212,0.965986395,0.965986395,0.939747328,0.970845481,0.95335277,0.959183673,0.962099125
LargeKitchenAppliances,0.88,0.917333333,0.877333333,0.904,0.768,0.826666667,0.818666667,0.813333333,0.906666667,0.906666667
Lightning2,0.754098361,0.770491803,0.655737705,0.836065574,0.868852459,0.754098361,0.754098361,0.803278689,0.770491803,0.770491803
Lightning7,0.712328767,0.808219178,0.808219178,0.794520548,0.849315068,0.808219178,0.739726027,0.767123288,0.753424658,0.821917808
Mallat,0.963752665,0.968869936,0.928784648,0.957782516,0.958635394,0.943710021,0.969296375,0.945842217,0.977398721,0.977398721
Meat,0.916666667,0.933333333,0.933333333,0.95,0.933333333,0.933333333,0.966666667,0.916666667,0.983333333,1
MedicalImages,0.814473684,0.802631579,0.798684211,0.796052632,0.757894737,0.764473684,0.826315789,0.784210526,0.782894737,0.780263158
MiddlePhalanxOutlineAgeGroup,0.584415584,0.558441558,0.597402597,0.551948052,0.577922078,0.590909091,0.584415584,0.623376623,0.532467532,0.538961039
MiddlePhalanxOutlineCorrect,0.869415808,0.841924399,0.845360825,0.835051546,0.83161512,0.841924399,0.838487973,0.845360825,0.824742268,0.838487973
MiddlePhalanxTW,0.558441558,0.577922078,0.519480519,0.532467532,0.538961039,0.532467532,0.584415584,0.558441558,0.545454545,0.538961039
MixedShapesRegularTrain,0.950515464,0.976494845,0.98185567,0.970309278,0.96371134,0.981443299,0.950927835,0.976082474,0.979381443,0.980206186
MixedShapesSmallTrain,0.898556701,0.958350515,0.965360825,0.910927835,0.929072165,0.967010309,0.911340206,0.943092784,0.926597938,0.935670103
MoteStrain,0.911341853,0.968051118,0.944888179,0.893769968,0.904952077,0.93370607,0.944888179,0.952076677,0.916134185,0.927316294
NonInvasiveFetalECGThorax1,0.929770992,0.946564885,0.958778626,0.95826972,0.9043257,0.927226463,0.933842239,0.922137405,0.959796438,0.959796438
NonInvasiveFetalECGThorax2,0.936386768,0.964885496,0.968956743,0.958778626,0.938931298,0.940966921,0.944529262,0.95826972,0.954707379,0.953180662
OliveOil,0.866666667,0.866666667,0.966666667,0.866666667,0.866666667,0.866666667,0.9,0.966666667,0.833333333,0.8
OSULeaf,0.867768595,0.966942149,0.97107438,0.921487603,0.830578512,0.987603306,0.855371901,0.975206612,0.979338843,0.979338843
PhalangesOutlinesCorrect,0.837995338,0.834498834,0.833333333,0.851981352,0.826340326,0.813519814,0.846153846,0.839160839,0.833333333,0.848484848
Phoneme,0.345464135,0.377637131,0.353375527,0.337025316,0.312763713,0.339662447,0.389240506,0.339135021,0.359704641,0.356540084
PigAirwayPressure,0.423076923,0.951923077,0.730769231,0.942307692,0.317307692,0.807692308,0.264423077,0.923076923,0.778846154,0.850961538
PigArtPressure,0.913461538,1,0.961538462,1,0.668269231,0.947115385,0.894230769,0.975961538,0.995192308,1
PigCVP,0.798076923,0.956730769,0.894230769,0.966346154,0.538461538,0.932692308,0.75,0.956730769,0.932692308,0.923076923
Plane,1,1,1,1,1,1,1,1,1,1
